[2025-10-03T14:09:31] [INFO] Game Logger initialized - Log file: logs/game_log_2025-10-03T14-09-31.log
[2025-10-03T14:09:31] [INFO] Log level updated to: 3
[2025-10-03T14:09:31] [INFO] SplashScreen: ===== SPLASH SCREEN STARTING =====
[2025-10-03T14:09:31] [INFO] SplashScreen: Animations setup complete
[2025-10-03T14:09:31] [INFO] SplashScreen: Starting splash sequence
[2025-10-03T14:09:35] [INFO] SplashScreen: Splash sequence completed
[2025-10-03T14:09:36] [INFO] SplashScreen: Fade out completed, transitioning to main menu
[2025-10-03T14:09:36] [INFO] SplashScreen: Transitioning to main menu: res://Scenes/MainMenu/MainMenu.tscn
[2025-10-03T14:09:36] [INFO] SplashScreen: Successfully transitioned to main menu
[2025-10-03T14:09:36] [INFO] 🚀 MainMenuController _ready() called
[2025-10-03T14:09:36] [INFO] ℹ️ Exit Game button signal already connected
[2025-10-03T14:09:36] [INFO] ✅ MainMenuController initialization completed
[2025-10-03T14:14:21] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:22] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:22] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:22] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:23] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:23] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:25] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:25] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:26] [INFO] 🚀 MainMenuController _ready() called
[2025-10-03T14:14:26] [INFO] ℹ️ Exit Game button signal already connected
[2025-10-03T14:14:26] [INFO] ✅ MainMenuController initialization completed
[2025-10-03T14:14:36] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=true, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:36] [DEBUG] [InputDebug] _input: mouse btn=1, pressed=false, is_in_game_scene=false, transitioning=false
[2025-10-03T14:14:36] [INFO] 🔘 Exit Game button pressed - showing unified confirmation dialog
[2025-10-03T14:14:36] [INFO] 🔧 UnifiedExitDialog initialized
[2025-10-03T14:14:36] [INFO] 🔧 Exit dialog configured for context: 2
[2025-10-03T14:14:36] [INFO]    Source: Main Menu
[2025-10-03T14:14:36] [INFO]    Target: 
[2025-10-03T14:14:36] [INFO] 🖱️ Mouse mode set to VISIBLE for dialog interaction (was: 0)
[2025-10-03T14:14:36] [INFO] ✅ Exit dialog shown for context: 2
[2025-10-03T14:14:37] [INFO] ✅ User chose YES - executing exit action
[2025-10-03T14:14:37] [INFO] 🚪 Quitting game...
[2025-10-03T14:14:37] [INFO] Game Logger shutting down
